leading_item_id,following_item_id,value
VBYCLTYZ,ATLDMDBO,43516925
SDWAYPIK,QVLMOEYE,1079671
QRKRBYJL,GYHKIVQT,19262427
DNMPSKTB,QRKRBYJL,2300106
SDWAYPIK,GYHKIVQT,19259453
SAHWCZNH,XIFHSOWQ,183929
UGEQLMXM,SDWAYPIK,5831959
FDXPMYGF,LUENUFGA,3517652
BLANHGYY,VMAQSTJE,162730
VBYCLTYZ,BTMOEMEP,14633936
RUVXNNVA,ZXERAXWP,166790
FDXPMYGF,OGAFEHLU,138176
BLANHGYY,OGAFEHLU,138192
DNMPSKTB,GYHKIVQT,19258191
XIFHSOWQ,MIRCVAMV,194604
SAHWCZNH,LUENUFGA,3515525
DEWLVASR,RJCAXSGH,4640102
VBYCLTYZ,QRKRBYJL,2307605
BLANHGYY,FDXPMYGF,140570
SUOYXCHP,TANNMIMB,137839
GYHKIVQT,EVBVXETX,4893204
OGAFEHLU,GYHKIVQT,19266048
ATLDMDBO,QVLMOEYE,1018362
KFQSHBNH,ZXERAXWP,161026
UGEQLMXM,BTMOEMEP,14634063
DNMPSKTB,SDWAYPIK,5824235
FDXPMYGF,HCDTGMST,175827
VWMBASNE,CCLHWFWF,15417414
GYHKIVQT,ZKENOUDA,472958
VBYCLTYZ,DNMPSKTB,4928265
FDXPMYGF,BSRMSVTC,469994
QRKRBYJL,SDWAYPIK,5829932
FDXPMYGF,PLMZALFA,138176
DNMPSKTB,OKMBFVKS,2013729
DNMPSKTB,OGAFEHLU,129684
UGEQLMXM,IGDVVKUD,152366
BTMOEMEP,ATLDMDBO,43498525
PLMZALFA,QSDCUCLB,138197
UGEQLMXM,VBYCLTYZ,627355
LRVGFDFM,IGDVVKUD,104548
XUOIQPFL,QRKRBYJL,2302845
XIPPENFQ,MIRCVAMV,194417
QVLMOEYE,FDXPMYGF,139138
QRKRBYJL,VBYCLTYZ,623888
OGAFEHLU,VBYCLTYZ,627509
XUOIQPFL,OGAFEHLU,132638
VWMBASNE,WBLJNPZQ,294421
GMBFCMIU,BTMOEMEP,14634293
UGEQLMXM,DJBLNPNC,139551
SDWAYPIK,ZKENOUDA,495957
ATLDMDBO,DNMPSKTB,4825626
SAHWCZNH,WPQXWHYO,11580391
XIFHSOWQ,VWMBASNE,233948
LRVGFDFM,VBYCLTYZ,607922
SDWAYPIK,QRKRBYJL,2301377
BSRMSVTC,VMAQSTJE,162426
ATLDMDBO,GYHKIVQT,19162951
VBYCLTYZ,FDXPMYGF,140121
BLANHGYY,PLMZALFA,138192
ZCELVYQU,KFQSHBNH,10062998
OGAFEHLU,ATLDMDBO,43517051
JPBRUTWP,GYHKIVQT,19258357
VUAFAIYJ,LSOIUSXD,365849
WBLJNPZQ,QSDCUCLB,137880
SDWAYPIK,XUOIQPFL,2205610
ATLDMDBO,BTMOEMEP,14582814
OGAFEHLU,UGEQLMXM,324126
JPBRUTWP,QVLMOEYE,1078199
XUOIQPFL,UGEQLMXM,318573
XUOIQPFL,JPBRUTWP,5691117
UGEQLMXM,ANWUJOKX,138038
DNMPSKTB,ATLDMDBO,43506672
BTMOEMEP,QVLMOEYE,1067740
ATLDMDBO,JPBRUTWP,5634391
SDWAYPIK,DNMPSKTB,4923435
WBLJNPZQ,JPBRUTWP,5695903
ELQGMQWE,OKMBFVKS,2020581
AXULOHBQ,SAHWCZNH,1824906
RCBZUSIM,AXULOHBQ,190065
SDWAYPIK,ATLDMDBO,43508734
BUZIIBYG,FWUCPMMW,118958
BLANHGYY,KEUWZRKO,480600
KEUWZRKO,XIFHSOWQ,187333
XIIEJNEE,VBYCLTYZ,627230
EVBVXETX,WPQXWHYO,11573982
LLHREMKS,ZXERAXWP,166737
ELQGMQWE,KFQSHBNH,10063225
LRVGFDFM,JPBRUTWP,5676657
LUENUFGA,XIFHSOWQ,182822
BTMOEMEP,RCBZUSIM,134605
ATLDMDBO,SDWAYPIK,5764196
JPBRUTWP,ATLDMDBO,43508984
IGDVVKUD,SUOYXCHP,138459
LRVGFDFM,QRKRBYJL,2288385
QVLMOEYE,ATLDMDBO,43515597
PLMZALFA,XIPPENFQ,260898
PLMZALFA,XIFHSOWQ,188167
DEWLVASR,ZXERAXWP,166215
UGEQLMXM,QRKRBYJL,2307830
LLHREMKS,FWUCPMMW,151141
LSOIUSXD,WBLJNPZQ,294482
UXSPKBJR,HXYSSRXE,4867065
BTMOEMEP,QRKRBYJL,2296899
GMBFCMIU,GIKPEWTY,138192
ZKENOUDA,RJCAXSGH,4640681
ATLDMDBO,RAWUKQMJ,3795172
WBLJNPZQ,PLMZALFA,137781
AANGBULD,DEWLVASR,562649
SDWAYPIK,OXKURKXR,223531
QSDCUCLB,VBYCLTYZ,627509
ATLDMDBO,VBYCLTYZ,568105
DEWLVASR,ZKENOUDA,503945
VBYCLTYZ,SDWAYPIK,5831734
UXSPKBJR,RCBZUSIM,144975
QRKRBYJL,JPBRUTWP,5692623
XUOIQPFL,ANWUJOKX,131561
AXULOHBQ,KEUWZRKO,480551
LRVGFDFM,GMBFCMIU,118605
BSRMSVTC,QSDCUCLB,138089
LUENUFGA,XIPPENFQ,254081
CCLHWFWF,VWMBASNE,168109
GIKPEWTY,LLHREMKS,181787
LRVGFDFM,OGAFEHLU,90268
DNMPSKTB,UGEQLMXM,315619
DJBLNPNC,BLANHGYY,186162
OGAFEHLU,VWMBASNE,234135
ZGJXVMNI,ZKENOUDA,499828
LUENUFGA,MIRCVAMV,191735
BSRMSVTC,XIFHSOWQ,188060
XUOIQPFL,VBYCLTYZ,620878
HCDTGMST,TANNMIMB,137846
NAQIHUKZ,ZCELVYQU,323506
LRVGFDFM,SDWAYPIK,5784177
IGDVVKUD,BTMOEMEP,14634281
LRVGFDFM,UGEQLMXM,276203
DNMPSKTB,ZGJXVMNI,2465653
DNMPSKTB,JPBRUTWP,5687737
ZKENOUDA,GYHKIVQT,19265520
XUOIQPFL,LRVGFDFM,2971604
LLHREMKS,ZCELVYQU,323401
XUOIQPFL,DNMPSKTB,4925164
FWUCPMMW,FTSVTTSR,320916
QVLMOEYE,VBYCLTYZ,625987
QSDCUCLB,UGEQLMXM,324126
GIKPEWTY,RUVXNNVA,138192
RJCAXSGH,AANGBULD,582779
ZKENOUDA,ZCELVYQU,323374
UXSPKBJR,ATLDMDBO,43516430
IGDVVKUD,HXYSSRXE,4867760
GYHKIVQT,DNMPSKTB,4890118
XIFHSOWQ,LUENUFGA,3517467
ZGJXVMNI,GYHKIVQT,19263787
BLANHGYY,SUOYXCHP,138458
LRVGFDFM,XIIEJNEE,130319
VMAQSTJE,TANNMIMB,138101
ELQGMQWE,FQCLOEXA,2128391
QVLMOEYE,SDWAYPIK,5830578
DNMPSKTB,ZKENOUDA,496802
FWUCPMMW,FDXPMYGF,140578
DBWLZWNK,QVLMOEYE,1085963
SDWAYPIK,VBYCLTYZ,620914
AXULOHBQ,PYZMVUWD,143221
AXULOHBQ,OGAFEHLU,138142
FWUCPMMW,XIIEJNEE,178228
FQCLOEXA,EVBVXETX,4932445
SDWAYPIK,JPBRUTWP,5689649
BSRMSVTC,OGAFEHLU,137527
ZGJXVMNI,SDWAYPIK,5827436
AXULOHBQ,PLMZALFA,138142
VBYCLTYZ,AXULOHBQ,189401
QVLMOEYE,RCBZUSIM,144155
PLMZALFA,TANNMIMB,138192
UGEQLMXM,GYHKIVQT,19265818
HXYSSRXE,EVBVXETX,4924929
LRVGFDFM,ATLDMDBO,43478949
OGAFEHLU,SDWAYPIK,5832100
LLHREMKS,GKQIJYDH,7678092
CCLHWFWF,VUAFAIYJ,809557
VBYCLTYZ,APQGTRMF,171830
DNMPSKTB,XUOIQPFL,2201817
JSLXRQOK,GIKPEWTY,138149
AANGBULD,RJCAXSGH,4640774
RJCAXSGH,ZXERAXWP,159950
FWUCPMMW,RUVXNNVA,138192
ATLDMDBO,HXYSSRXE,4820811
HXYSSRXE,BSRMSVTC,459482
JPBRUTWP,QRKRBYJL,2300132
AXULOHBQ,LUENUFGA,3517605
BTMOEMEP,JPBRUTWP,5669992
ATLDMDBO,ZGJXVMNI,2371638
QRKRBYJL,BTMOEMEP,14630672
UGEQLMXM,ATLDMDBO,43516946
PLMZALFA,VWMBASNE,234135
ZKENOUDA,KJNSOAHR,14340179
XIIEJNEE,QVLMOEYE,1085987
GYHKIVQT,ZGJXVMNI,2450511
JSLXRQOK,XIIEJNEE,178200
AANGBULD,ZKENOUDA,503953
XUOIQPFL,GYHKIVQT,19260921
QVLMOEYE,HXYSSRXE,4866326
ATLDMDBO,LPHPPJUG,1205147
ANWUJOKX,BLANHGYY,186162
UIFPPCLR,GYHKIVQT,19265992
QVLMOEYE,GYHKIVQT,19264216
GMBFCMIU,SNHYOVBM,365261
OKMBFVKS,KFQSHBNH,10062182
HXYSSRXE,DNMPSKTB,4919892
ANWUJOKX,HXYSSRXE,4867766
CCLHWFWF,LSOIUSXD,305048
QVLMOEYE,BTMOEMEP,14632461
KEUWZRKO,LUENUFGA,3517043
NAQIHUKZ,GIKPEWTY,138192
EVBVXETX,SAHWCZNH,1816956
UXSPKBJR,QRKRBYJL,2306934
ZKENOUDA,AANGBULD,588880
BLANHGYY,HCDTGMST,175842
QRKRBYJL,RCBZUSIM,143509
ZGJXVMNI,AANGBULD,583915
IGDVVKUD,VBYCLTYZ,627496
ELQGMQWE,LLHREMKS,180992
QRKRBYJL,LPHPPJUG,1307118
BEZYMBBT,HXYSSRXE,4859529
XUOIQPFL,OXKURKXR,226678
WQMVCOEM,TANNMIMB,137852
XIIEJNEE,SNHYOVBM,365260
XUOIQPFL,ATLDMDBO,43511497
FRHNWLNI,QRKRBYJL,2306008
WPQXWHYO,XIFHSOWQ,171220
MIRCVAMV,LTOYKIML,556877
OGAFEHLU,JPBRUTWP,5696244
CCLHWFWF,OGAFEHLU,103139
KEUWZRKO,WPQXWHYO,11581993
FTSVTTSR,SAAYMURU,165754
ATLDMDBO,AXULOHBQ,128213
FDXPMYGF,SUOYXCHP,138466
RCBZUSIM,DNMPSKTB,4928699
NZKBIBNU,NAQIHUKZ,137931
QKXNTIIB,RUVXNNVA,136721
NAQIHUKZ,SAAYMURU,165962
DNMPSKTB,VBYCLTYZ,619643
OGAFEHLU,UIFPPCLR,237863
FWUCPMMW,NAQIHUKZ,138191
GYHKIVQT,DEWLVASR,520703
SDWAYPIK,UGEQLMXM,315809
KFQSHBNH,KJNSOAHR,14327442
BTMOEMEP,IGDVVKUD,133945
ZCELVYQU,BLANHGYY,184279
HXYSSRXE,FQCLOEXA,2119917
OXKURKXR,ATLDMDBO,43516734
ZGJXVMNI,DNMPSKTB,4924862
DEWLVASR,KJNSOAHR,14340175
AANGBULD,GKQIJYDH,7678158
SDWAYPIK,APQGTRMF,163879
XIFHSOWQ,WPQXWHYO,11582569
QVLMOEYE,WBLJNPZQ,293115
OGAFEHLU,QSDCUCLB,138197
RJCAXSGH,FWUCPMMW,146015
KFQSHBNH,FWUCPMMW,149353
XUOIQPFL,DBWLZWNK,283395
AXULOHBQ,BSRMSVTC,469863
VBYCLTYZ,GYHKIVQT,19265382
SDWAYPIK,OGAFEHLU,129874
OGAFEHLU,IGDVVKUD,152471
FQCLOEXA,SAHWCZNH,1822593
UGEQLMXM,WHPUAOID,168492
ELQGMQWE,AANGBULD,587946
OGAFEHLU,ANWUJOKX,138192
VBYCLTYZ,BLANHGYY,185497
RAWUKQMJ,AXULOHBQ,185097
UGEQLMXM,JPBRUTWP,5696102
BTMOEMEP,GMBFCMIU,111940
DNMPSKTB,LRVGFDFM,2966081
QRKRBYJL,HXYSSRXE,4866642
BTMOEMEP,DNMPSKTB,4912960
GYHKIVQT,FQCLOEXA,2105334
BTMOEMEP,RAWUKQMJ,3815876
RCBZUSIM,ATLDMDBO,43517025
SNHYOVBM,DJBLNPNC,138354
ZXERAXWP,KFQSHBNH,10064829
DEWLVASR,APQGTRMF,171618
EVBVXETX,FRHNWLNI,919816
HXYSSRXE,OGAFEHLU,127678
QSDCUCLB,BTMOEMEP,14634293
OGAFEHLU,GMBFCMIU,138192
FWUCPMMW,BSRMSVTC,469995
LLHREMKS,ELQGMQWE,819253
ANWUJOKX,WQMVCOEM,142624
FWUCPMMW,WHPUAOID,168615
KFQSHBNH,ELQGMQWE,805363
UXSPKBJR,QVLMOEYE,1085645
RJGPVEXX,AANGBULD,588388
RUVXNNVA,XIIEJNEE,178242
FTSVTTSR,ZCELVYQU,323193
ANWUJOKX,RAWUKQMJ,3842128
SDWAYPIK,HXYSSRXE,4862754
DEWLVASR,OKMBFVKS,2021227
OGAFEHLU,XIIEJNEE,178242
RUVXNNVA,SAAYMURU,165970
XUOIQPFL,RAWUKQMJ,3837102
GMBFCMIU,AXULOHBQ,190066
ZGJXVMNI,RJGPVEXX,778118
FRHNWLNI,ATLDMDBO,43514529
ATLDMDBO,UGEQLMXM,221030
BTMOEMEP,VBYCLTYZ,601257
EVBVXETX,LUENUFGA,3508988
AXULOHBQ,EVBVXETX,4935048
WBLJNPZQ,CCLHWFWF,15417378
JPBRUTWP,APQGTRMF,164130
RJCAXSGH,OKMBFVKS,2015532
XUOIQPFL,APQGTRMF,165869
BTMOEMEP,XIIEJNEE,158789
LLHREMKS,UGEQLMXM,324074
KFQSHBNH,AANGBULD,580005
OGAFEHLU,DNMPSKTB,4928722
VUAFAIYJ,RJCAXSGH,4640459
ATLDMDBO,LRVGFDFM,2923683
OXKURKXR,JSLXRQOK,148877
AANGBULD,ZCELVYQU,323467
APQGTRMF,DNMPSKTB,4928682
NAQIHUKZ,GKQIJYDH,7678198
ELQGMQWE,RJCAXSGH,4639143
ZKENOUDA,OKMBFVKS,2020857
VBYCLTYZ,DJBLNPNC,139424
NZKBIBNU,XIIEJNEE,177668
SDWAYPIK,ZGJXVMNI,2466033
LLHREMKS,KFQSHBNH,10064153
QRKRBYJL,APQGTRMF,170028
VBYCLTYZ,IGDVVKUD,152344
SAHWCZNH,EVBVXETX,4929967
ATLDMDBO,ANWUJOKX,70288
RJCAXSGH,ZKENOUDA,497553
DEWLVASR,SDWAYPIK,5831446
UIFPPCLR,ANWUJOKX,138136
KEUWZRKO,SAHWCZNH,1824309
XIIEJNEE,ANWUJOKX,137912
SDWAYPIK,LPHPPJUG,1304944
OKMBFVKS,GYHKIVQT,19263528
QSDCUCLB,QRKRBYJL,2307971
DJBLNPNC,GIKPEWTY,138189
ZKENOUDA,FTSVTTSR,320797
BTMOEMEP,SDWAYPIK,5812647
ROACSLMG,IGDVVKUD,149244
APQGTRMF,RJCAXSGH,4640810
JPBRUTWP,RCBZUSIM,137837
GYHKIVQT,HXYSSRXE,4843929
OGAFEHLU,XUOIQPFL,2210897
RJCAXSGH,KJNSOAHR,14333567
RJCAXSGH,ELQGMQWE,813243
WBLJNPZQ,LSOIUSXD,365579
QSDCUCLB,QVLMOEYE,1086266
JPBRUTWP,ZGJXVMNI,2465779
SDWAYPIK,OKMBFVKS,2015000
XIIEJNEE,ATLDMDBO,43517051
VBYCLTYZ,ANWUJOKX,137526
DJBLNPNC,SUOYXCHP,138467
TGOELCAG,TANNMIMB,137754
TANNMIMB,VWMBASNE,234135
OKMBFVKS,RJCAXSGH,4638099
OKMBFVKS,ANWUJOKX,134773
BUZIIBYG,FDXPMYGF,109273
VBYCLTYZ,JPBRUTWP,5696118
RUVXNNVA,ELQGMQWE,819306
ZCELVYQU,FWUCPMMW,150002
BSRMSVTC,PLMZALFA,137527
ATLDMDBO,OXKURKXR,172828
WBLJNPZQ,VUAFAIYJ,829400
TANNMIMB,PYZMVUWD,143270
LRVGFDFM,DBWLZWNK,268690
GYHKIVQT,WPQXWHYO,11540651
FTSVTTSR,XIIEJNEE,177997
ZKENOUDA,KFQSHBNH,10064118
JBVHSUWY,ELQGMQWE,818930
ROACSLMG,BTMOEMEP,14630879
QVLMOEYE,APQGTRMF,170674
UGEQLMXM,HXYSSRXE,4867537
OGAFEHLU,APQGTRMF,172196
WPQXWHYO,RJGPVEXX,762980
AXULOHBQ,VMAQSTJE,162590
BTMOEMEP,GYHKIVQT,19239796
NAQIHUKZ,STZDBITS,22043693
WBLJNPZQ,UGEQLMXM,323810
KAGJCHMR,LTOYKIML,556663
ZGJXVMNI,DEWLVASR,556987
VMAQSTJE,KEUWZRKO,480564
AXULOHBQ,XIFHSOWQ,188118
MIRCVAMV,CCLHWFWF,15417560
VWMBASNE,XIPPENFQ,260811
FWUCPMMW,JSLXRQOK,149022
AXULOHBQ,WPQXWHYO,11582590
QSDCUCLB,SDWAYPIK,5832100
SAHWCZNH,XIPPENFQ,258227
BTMOEMEP,LPHPPJUG,1289717
DJBLNPNC,WQMVCOEM,142624
QRKRBYJL,FDXPMYGF,132742
BLANHGYY,WPQXWHYO,11582639
WBLJNPZQ,HXYSSRXE,4867545
HCDTGMST,JERHKLYW,151240
GMBFCMIU,WHPUAOID,168616
HXYSSRXE,RJGPVEXX,771715
OGAFEHLU,RCBZUSIM,145677
XUOIQPFL,GMBFCMIU,133166
LSOIUSXD,VWMBASNE,233906
GYHKIVQT,AXULOHBQ,151462
DBWLZWNK,RCBZUSIM,144182
ZKENOUDA,XUOIQPFL,2210187
GIKPEWTY,CCLHWFWF,15417564
GMBFCMIU,UXSPKBJR,612043
PLMZALFA,LUENUFGA,3517654
NZKBIBNU,LUENUFGA,3517125
VBYCLTYZ,LPHPPJUG,1307577
AXULOHBQ,FDXPMYGF,140473
QSDCUCLB,ATLDMDBO,43517051
RCBZUSIM,FDXPMYGF,140559
DEWLVASR,GYHKIVQT,19265680
QSDCUCLB,SNHYOVBM,365261
QVLMOEYE,RAWUKQMJ,3840688
FITUEHWN,TANNMIMB,138119
GYHKIVQT,ELQGMQWE,777318
GIKPEWTY,FITUEHWN,207482
UGEQLMXM,LSOIUSXD,365396
KAGJCHMR,FWUCPMMW,151671
WPQXWHYO,LUENUFGA,3498656
DBWLZWNK,AXULOHBQ,189644
XUOIQPFL,IGDVVKUD,146144
GYHKIVQT,AANGBULD,578069
OXKURKXR,QVLMOEYE,1086120
OGAFEHLU,DBWLZWNK,290026
QVLMOEYE,JPBRUTWP,5694722
XIIEJNEE,SDWAYPIK,5832100
HXYSSRXE,PYZMVUWD,132757
KEUWZRKO,XIPPENFQ,259849
XIIEJNEE,QRKRBYJL,2307971
XUOIQPFL,OKMBFVKS,2014964
STZDBITS,XIIEJNEE,147207
HXYSSRXE,XIFHSOWQ,177905
BSRMSVTC,KEUWZRKO,479935
HXYSSRXE,ZGJXVMNI,2464221
BJALXPFS,DNMPSKTB,4928589
XIIEJNEE,WHPUAOID,168616
XUOIQPFL,XIIEJNEE,172689
ANWUJOKX,QVLMOEYE,1086266
VBYCLTYZ,RCBZUSIM,145321
SDWAYPIK,ANWUJOKX,134893
ATLDMDBO,DBWLZWNK,222122
DNMPSKTB,EVBVXETX,4927335
APQGTRMF,OKMBFVKS,2021543
TANNMIMB,MIRCVAMV,194652
DNMPSKTB,VWMBASNE,226278
LUENUFGA,DNMPSKTB,4916592
FITUEHWN,ANWUJOKX,138127
OGAFEHLU,OKMBFVKS,2021595
BSRMSVTC,WPQXWHYO,11581974
UGEQLMXM,DBWLZWNK,289503
VBYCLTYZ,RAWUKQMJ,3841671
OKMBFVKS,FDXPMYGF,137092
GYHKIVQT,XUOIQPFL,2199348
KFQSHBNH,OKMBFVKS,2007652
QRKRBYJL,ZGJXVMNI,2471113
DJBLNPNC,WHPUAOID,168616
ZKENOUDA,XIIEJNEE,178108
WBLJNPZQ,ZKENOUDA,504437
UXSPKBJR,WQMVCOEM,141841
GMBFCMIU,FWUCPMMW,151885
VMAQSTJE,XIFHSOWQ,188077
UXSPKBJR,RAWUKQMJ,3841426
QKXNTIIB,FTSVTTSR,317689
ZGJXVMNI,UGEQLMXM,319267
APQGTRMF,ATLDMDBO,43517047
SDWAYPIK,BTMOEMEP,14627698
ZGJXVMNI,XUOIQPFL,2205194
BLANHGYY,SAHWCZNH,1824955
AANGBULD,FTSVTTSR,320869
UGEQLMXM,OGAFEHLU,137669
APQGTRMF,RCBZUSIM,145671
QVLMOEYE,DJBLNPNC,137948
BTMOEMEP,UGEQLMXM,304673
IGDVVKUD,ATLDMDBO,43517051
LRVGFDFM,BTMOEMEP,14612956
DNMPSKTB,DEWLVASR,554834
WBLJNPZQ,BJALXPFS,289652
TGOELCAG,LUENUFGA,3517593
QSDCUCLB,ANWUJOKX,138192
WBLJNPZQ,SDWAYPIK,5831760
VBYCLTYZ,HXYSSRXE,4867309
BTMOEMEP,WQMVCOEM,116373
XIIEJNEE,FWUCPMMW,151884
ZXERAXWP,UIFPPCLR,237794
SDWAYPIK,DEWLVASR,554373
AANGBULD,NAQIHUKZ,138192
PYZMVUWD,XIFHSOWQ,188160
HXYSSRXE,UGEQLMXM,313864
XUOIQPFL,QSDCUCLB,134639
ANWUJOKX,AXULOHBQ,190066
UXSPKBJR,APQGTRMF,171413
LLHREMKS,LSOIUSXD,365175
ZCELVYQU,RJCAXSGH,4638916
APQGTRMF,WHPUAOID,168612
DJBLNPNC,ANWUJOKX,138192
UGEQLMXM,VWMBASNE,233906
GYHKIVQT,RJCAXSGH,4609115
LTOYKIML,FTSVTTSR,320434
AHMDUILJ,UXSPKBJR,611792
KJNSOAHR,RJCAXSGH,4620505
ZXERAXWP,WHPUAOID,168584
WBLJNPZQ,DEWLVASR,562374
RJGPVEXX,GYHKIVQT,19265016
LRVGFDFM,LPHPPJUG,1270141
HXYSSRXE,KEUWZRKO,471345
WPQXWHYO,XIPPENFQ,246539
LRVGFDFM,QSDCUCLB,137026
BSRMSVTC,LUENUFGA,3516972
JPBRUTWP,SDWAYPIK,5822630
ATLDMDBO,XUOIQPFL,2159419
SDWAYPIK,DUCMGGNW,846963
KEUWZRKO,NZKBIBNU,386176
WBLJNPZQ,LRVGFDFM,2974940
IGDVVKUD,QVLMOEYE,1086253
VUAFAIYJ,LRVGFDFM,2974960
ELQGMQWE,XIIEJNEE,177073
QVLMOEYE,LPHPPJUG,1306411
ANWUJOKX,VBYCLTYZ,627509
NZKBIBNU,FTSVTTSR,320357
JPBRUTWP,OKMBFVKS,2013529
RCBZUSIM,BJALXPFS,289968
MBSBZBXA,HCDTGMST,169893
BTMOEMEP,XUOIQPFL,2198200
XIFHSOWQ,EVBVXETX,4935122
DNMPSKTB,RJGPVEXX,773729
QRKRBYJL,UGEQLMXM,317173
AXULOHBQ,NZKBIBNU,386643
LSOIUSXD,AXULOHBQ,189804
BJALXPFS,QRKRBYJL,2307520
OKMBFVKS,FQCLOEXA,2126146
XUOIQPFL,VWMBASNE,227808
SDWAYPIK,RCBZUSIM,136976
HXYSSRXE,ZKENOUDA,494145
RAWUKQMJ,WPQXWHYO,11577346
DEWLVASR,VMAQSTJE,161599
SDWAYPIK,UIFPPCLR,231268
DNMPSKTB,RAWUKQMJ,3834262
VMAQSTJE,QSDCUCLB,138106
OKMBFVKS,ZGJXVMNI,2472018
BSRMSVTC,ROACSLMG,2275917
APQGTRMF,HXYSSRXE,4867726
SDWAYPIK,BEZYMBBT,3115318
WBLJNPZQ,OGAFEHLU,137851
SAHWCZNH,WQMVCOEM,137400
BEZYMBBT,ELQGMQWE,810609
ATLDMDBO,RCBZUSIM,94199
EVBVXETX,KEUWZRKO,472601
ANWUJOKX,APQGTRMF,172196
UGEQLMXM,APQGTRMF,172055
APQGTRMF,DUCMGGNW,852210
ZXERAXWP,RJCAXSGH,4640747
QKXNTIIB,NAQIHUKZ,134951
RJGPVEXX,ZKENOUDA,503605
RUVXNNVA,ZCELVYQU,323508
BEZYMBBT,KFQSHBNH,10060009
XIIEJNEE,FRHNWLNI,926108
BSRMSVTC,FITUEHWN,207177
ZGJXVMNI,EVBVXETX,4932931
ELQGMQWE,RUVXNNVA,137412
UXSPKBJR,DBWLZWNK,289406
LTOYKIML,XIIEJNEE,177746
GYHKIVQT,KJNSOAHR,14316666
FQCLOEXA,WPQXWHYO,11579892
OXKURKXR,APQGTRMF,171879
OGAFEHLU,LRVGFDFM,2975161
BJALXPFS,SDWAYPIK,5831801
PLMZALFA,JERHKLYW,151399
HXYSSRXE,AXULOHBQ,180235
DNMPSKTB,AXULOHBQ,182209
RAWUKQMJ,DNMPSKTB,4923753
GMBFCMIU,FRHNWLNI,926108
BTMOEMEP,BSRMSVTC,458923
ATLDMDBO,OGAFEHLU,70288
GIKPEWTY,BSRMSVTC,469995
AANGBULD,RUVXNNVA,138192
JBVHSUWY,NAQIHUKZ,137891
AANGBULD,VUAFAIYJ,829810
ELQGMQWE,ZKENOUDA,502986
LTOYKIML,LLHREMKS,181075
LPHPPJUG,DDEXPPXU,149609
LSOIUSXD,VUAFAIYJ,829581
ATLDMDBO,APQGTRMF,110344
FQCLOEXA,FITUEHWN,204735
FDXPMYGF,VMAQSTJE,162715
APQGTRMF,GYHKIVQT,19266044
APQGTRMF,UIFPPCLR,237811
XIPPENFQ,DDEXPPXU,151330
ANWUJOKX,BTMOEMEP,14634293
WBLJNPZQ,ATLDMDBO,43516830
JPBRUTWP,VBYCLTYZ,619442
EVBVXETX,KJNSOAHR,14332232
CCLHWFWF,FCYBOAXC,105419955
QVLMOEYE,ZKENOUDA,503082
QVLMOEYE,ZGJXVMNI,2473157
WQMVCOEM,OGAFEHLU,138191
GYHKIVQT,KFQSHBNH,10053348
RAWUKQMJ,HXYSSRXE,4862405
UIFPPCLR,KJNSOAHR,14340822
SDWAYPIK,WQMVCOEM,137337
SAHWCZNH,NZKBIBNU,384658
LLHREMKS,BLANHGYY,185418
QRKRBYJL,ANWUJOKX,134571
